
2023/04/05 (21:42:16) | ===> btop++ v.1.2.13
2023/04/05 (21:42:16) | ERROR: Invalid hex value:  Main text color

2023/04/06 (10:16:54) | ===> btop++ v.1.2.13
2023/04/06 (10:16:54) | ERROR: Invalid hex value:  Main text color

2023/04/06 (16:05:44) | ===> btop++ v.1.2.13
2023/04/06 (16:05:44) | ERROR: Invalid hex value:  Main text color

2023/04/07 (10:01:47) | ===> btop++ v.1.2.13
2023/04/07 (10:01:47) | ERROR: Invalid hex value:  Main text color

2023/04/09 (23:10:30) | ===> btop++ v.1.2.13
2023/04/09 (23:10:30) | ERROR: Invalid hex value:  Main text color

2023/04/10 (18:18:00) | ===> btop++ v.1.2.13
2023/04/10 (18:18:00) | ERROR: Invalid hex value:  Main text color

2023/04/10 (20:57:01) | ===> btop++ v.1.2.13
2023/04/10 (20:57:01) | ERROR: Invalid hex value:  Main text color

2023/04/10 (21:33:55) | ===> btop++ v.1.2.13
2023/04/10 (21:33:55) | ERROR: Invalid hex value:  Main text color

2023/04/10 (21:38:02) | ===> btop++ v.1.2.13
2023/04/10 (21:38:02) | ERROR: Invalid hex value:  Main text color

2023/04/11 (00:06:51) | ===> btop++ v.1.2.13
2023/04/11 (00:06:51) | ERROR: Invalid hex value:  Main text color

2023/04/11 (00:07:57) | ===> btop++ v.1.2.13
2023/04/11 (00:07:57) | ERROR: Invalid hex value:  Main text color

2023/04/11 (00:40:48) | ===> btop++ v.1.2.13
2023/04/11 (00:40:48) | ERROR: Invalid hex value:  Main text color

2023/04/11 (11:47:47) | ===> btop++ v.1.2.13
2023/04/11 (11:47:47) | ERROR: Invalid hex value:  Main text color

2023/04/12 (21:12:43) | ===> btop++ v.1.2.13
2023/04/12 (21:12:43) | ERROR: Invalid hex value:  Main text color

2023/04/13 (23:23:04) | ===> btop++ v.1.2.13
2023/04/13 (23:23:04) | ERROR: Invalid hex value:  Main text color

2023/04/14 (10:44:34) | ===> btop++ v.1.2.13
2023/04/14 (10:44:34) | ERROR: Invalid hex value:  Main text color

2023/04/15 (09:39:53) | ===> btop++ v.1.2.13
2023/04/15 (09:39:53) | ERROR: Invalid hex value:  Main text color

2023/04/15 (23:23:20) | ===> btop++ v.1.2.13
2023/04/15 (23:23:20) | ERROR: Invalid hex value:  Main text color

2023/04/16 (13:33:03) | ===> btop++ v.1.2.13
2023/04/16 (13:33:03) | ERROR: Invalid hex value:  Main text color

2023/04/16 (15:49:48) | ===> btop++ v.1.2.13
2023/04/16 (15:49:48) | ERROR: Invalid hex value:  Main text color

2023/04/17 (08:38:17) | ===> btop++ v.1.2.13
2023/04/17 (08:38:17) | ERROR: Invalid hex value:  Main text color

2023/04/18 (11:46:18) | ===> btop++ v.1.2.13
2023/04/18 (11:46:18) | ERROR: Invalid hex value:  Main text color

2023/04/19 (09:28:06) | ===> btop++ v.1.2.13
2023/04/19 (09:28:06) | ERROR: Invalid hex value:  Main text color

2023/04/20 (16:08:16) | ===> btop++ v.1.2.13
2023/04/20 (16:08:16) | ERROR: Invalid hex value:  Main text color

2023/04/21 (09:20:27) | ===> btop++ v.1.2.13
2023/04/21 (09:20:27) | ERROR: Invalid hex value:  Main text color

2023/04/22 (09:42:53) | ===> btop++ v.1.2.13
2023/04/22 (09:42:53) | ERROR: Invalid hex value:  Main text color

2023/04/23 (17:35:48) | ===> btop++ v.1.2.13
2023/04/23 (17:35:48) | ERROR: Invalid hex value:  Main text color

2023/04/24 (10:40:22) | ===> btop++ v.1.2.13
2023/04/24 (10:40:22) | ERROR: Invalid hex value:  Main text color

2023/04/25 (08:16:55) | ===> btop++ v.1.2.13
2023/04/25 (08:16:55) | ERROR: Invalid hex value:  Main text color

2023/04/25 (21:10:27) | ===> btop++ v.1.2.13
2023/04/25 (21:10:27) | ERROR: Invalid hex value:  Main text color

2023/04/25 (21:54:11) | ===> btop++ v.1.2.13
2023/04/25 (21:54:11) | ERROR: Invalid hex value:  Main text color

2023/04/26 (10:07:03) | ===> btop++ v.1.2.13
2023/04/26 (10:07:03) | ERROR: Invalid hex value:  Main text color

2023/04/26 (11:22:00) | ===> btop++ v.1.2.13
2023/04/26 (11:22:00) | ERROR: Invalid hex value:  Main text color

2023/04/26 (11:35:23) | ===> btop++ v.1.2.13
2023/04/26 (11:35:23) | ERROR: Invalid hex value:  Main text color

2023/04/26 (11:45:59) | ===> btop++ v.1.2.13
